[00:03:28] [Server thread/WARN]: Fetching packet for removed entity class_1542['Coal'/560628, l='ServerLevel[world]', x=-212.32, y=16.38, z=296.49]
[01:32:42] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/660185, l='ServerLevel[world]', x=-212.58, y=8.34, z=207.43]
[01:35:43] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/661689, l='ServerLevel[world]', x=-210.27, y=7.30, z=204.69]
[01:38:03] [Server thread/WARN]: Fetching packet for removed entity class_1542['Diorite'/662852, l='ServerLevel[world]', x=-176.32, y=6.33, z=202.63]
[01:38:03] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/662853, l='ServerLevel[world]', x=-176.27, y=7.46, z=203.54]
[01:43:38] [Server thread/WARN]: Fetching packet for removed entity class_1542['Sand'/665623, l='ServerLevel[world]', x=-199.45, y=6.54, z=197.74]
[01:43:58] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/665837, l='ServerLevel[world]', x=-193.25, y=3.31, z=197.29]
[01:46:43] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/667211, l='ServerLevel[world]', x=-205.67, y=8.37, z=194.41]
[01:46:43] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/667212, l='ServerLevel[world]', x=-209.27, y=7.32, z=195.39]
[01:48:45] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/668328, l='ServerLevel[world]', x=-210.72, y=13.30, z=194.51]
[01:48:45] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/668329, l='ServerLevel[world]', x=-208.58, y=12.27, z=193.53]
[01:49:29] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/668757, l='ServerLevel[world]', x=-180.31, y=4.52, z=194.43]
[01:50:35] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/669315, l='ServerLevel[world]', x=-181.62, y=4.62, z=195.74]
[01:51:06] [Server thread/INFO]: Player shuijiao is already logged on
[01:51:30] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/669851, l='ServerLevel[world]', x=-177.45, y=7.26, z=188.72]
[01:52:34] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/670443, l='ServerLevel[world]', x=-178.47, y=7.59, z=188.51]
[01:54:38] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/671712, l='ServerLevel[world]', x=-180.60, y=3.50, z=191.31]
[01:54:45] [Server thread/WARN]: Fetching packet for removed entity class_1542['Diorite'/671775, l='ServerLevel[world]', x=-198.42, y=6.68, z=185.39]
[01:57:34] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/673391, l='ServerLevel[world]', x=-171.31, y=7.29, z=183.47]
[01:58:42] [Server thread/WARN]: Fetching packet for removed entity class_1542['Granite'/674033, l='ServerLevel[world]', x=-184.54, y=9.65, z=184.27]
[01:59:15] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/674400, l='ServerLevel[world]', x=-179.27, y=9.40, z=183.66]
[01:59:15] [Server thread/WARN]: Fetching packet for removed entity class_1542['Granite'/674401, l='ServerLevel[world]', x=-180.64, y=9.63, z=184.44]
[01:59:55] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/674742, l='ServerLevel[world]', x=-213.59, y=18.53, z=186.71]
[02:00:14] [Server thread/WARN]: Fetching packet for removed entity class_1542['Andesite'/674939, l='ServerLevel[world]', x=-184.74, y=9.35, z=183.65]
[02:00:14] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/674940, l='ServerLevel[world]', x=-185.49, y=9.51, z=183.67]
[02:01:42] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/675704, l='ServerLevel[world]', x=-178.66, y=12.38, z=179.36]
[02:01:42] [Server thread/WARN]: Fetching packet for removed entity class_1542['Redstone Dust'/675705, l='ServerLevel[world]', x=-180.71, y=9.58, z=181.63]
[02:01:42] [Server thread/WARN]: Fetching packet for removed entity class_1542['Andesite'/675706, l='ServerLevel[world]', x=-179.41, y=11.40, z=179.71]
[02:04:17] [Server thread/WARN]: Fetching packet for removed entity class_1542['Andesite'/677146, l='ServerLevel[world]', x=-180.35, y=8.60, z=179.38]
[02:04:59] [Server thread/WARN]: Fetching packet for removed entity class_1542['Granite'/677492, l='ServerLevel[world]', x=-212.54, y=7.67, z=177.65]
[02:05:06] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/677592, l='ServerLevel[world]', x=-210.53, y=8.64, z=176.74]
[02:05:06] [Server thread/WARN]: Fetching packet for removed entity class_1542['Diorite'/677593, l='ServerLevel[world]', x=-212.65, y=5.41, z=175.70]
[02:05:06] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/677594, l='ServerLevel[world]', x=-209.70, y=7.63, z=175.56]
[02:06:05] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/678104, l='ServerLevel[world]', x=-208.53, y=4.44, z=174.29]
[02:07:44] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/678933, l='ServerLevel[world]', x=-177.68, y=3.42, z=178.68]
[02:07:45] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/678942, l='ServerLevel[world]', x=-178.56, y=9.26, z=177.68]
[02:10:24] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/680293, l='ServerLevel[world]', x=-181.51, y=6.37, z=171.46]
[02:12:52] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/681543, l='ServerLevel[world]', x=-182.25, y=8.32, z=171.35]
[02:13:20] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/681804, l='ServerLevel[world]', x=-189.27, y=6.75, z=169.38]
[02:13:54] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/682051, l='ServerLevel[world]', x=-187.56, y=4.31, z=173.71]
[02:14:57] [Server thread/WARN]: Fetching packet for removed entity class_1542['Diorite'/682591, l='ServerLevel[world]', x=-190.28, y=8.74, z=168.48]
[02:15:25] [Server thread/WARN]: Fetching packet for removed entity class_1542['Andesite'/682856, l='ServerLevel[world]', x=-186.37, y=8.50, z=168.59]
[02:15:28] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/682882, l='ServerLevel[world]', x=-180.71, y=3.73, z=167.57]
[02:16:30] [Server thread/WARN]: Fetching packet for removed entity class_1542['Dirt'/683431, l='ServerLevel[world]', x=-182.61, y=5.51, z=174.45]
[02:17:30] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/683959, l='ServerLevel[world]', x=-178.44, y=2.26, z=164.67]
[02:18:30] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/684452, l='ServerLevel[world]', x=-181.69, y=3.69, z=166.59]
[02:20:30] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/685487, l='ServerLevel[world]', x=-179.60, y=8.62, z=163.70]
[02:23:24] [Server thread/WARN]: Fetching packet for removed entity class_1542['Andesite'/686957, l='ServerLevel[world]', x=-202.70, y=7.55, z=162.26]
[02:23:24] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/686958, l='ServerLevel[world]', x=-203.51, y=7.32, z=161.63]
[02:24:26] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/687471, l='ServerLevel[world]', x=-195.70, y=8.46, z=157.37]
[02:26:19] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/688392, l='ServerLevel[world]', x=-215.30, y=29.67, z=157.48]
[02:26:19] [Server thread/WARN]: Fetching packet for removed entity class_1542['Diorite'/688393, l='ServerLevel[world]', x=-213.59, y=27.50, z=157.43]
[02:26:19] [Server thread/WARN]: Fetching packet for removed entity class_1542['Coal'/688394, l='ServerLevel[world]', x=-214.67, y=29.56, z=155.62]
[02:26:19] [Server thread/WARN]: Fetching packet for removed entity class_1542['Andesite'/688395, l='ServerLevel[world]', x=-216.64, y=28.69, z=157.31]
[02:28:14] [Server thread/WARN]: Fetching packet for removed entity class_1542['Diorite'/689359, l='ServerLevel[world]', x=-202.26, y=5.70, z=160.34]
[02:28:16] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/689374, l='ServerLevel[world]', x=-210.62, y=3.51, z=159.52]
[02:28:24] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/689479, l='ServerLevel[world]', x=-201.53, y=8.55, z=156.28]
[02:29:19] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/689914, l='ServerLevel[world]', x=-216.46, y=16.58, z=159.33]
[02:30:04] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/690297, l='ServerLevel[world]', x=-181.62, y=6.59, z=149.65]
[02:30:16] [Server thread/WARN]: Fetching packet for removed entity class_1542['Andesite'/690399, l='ServerLevel[world]', x=-208.44, y=6.46, z=150.37]
[02:30:20] [Server thread/WARN]: Fetching packet for removed entity class_1542['Andesite'/690443, l='ServerLevel[world]', x=-219.39, y=48.32, z=163.43]
[02:30:20] [Server thread/WARN]: Fetching packet for removed entity class_1542['Andesite'/690445, l='ServerLevel[world]', x=-219.43, y=47.59, z=163.33]
[02:30:30] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/690546, l='ServerLevel[world]', x=-197.71, y=7.53, z=148.62]
[02:30:30] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/690547, l='ServerLevel[world]', x=-199.53, y=5.45, z=149.46]
[02:33:11] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/691968, l='ServerLevel[world]', x=-196.48, y=9.55, z=149.25]
[02:34:12] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/692495, l='ServerLevel[world]', x=-195.56, y=10.41, z=149.65]
[02:34:25] [Server thread/WARN]: Fetching packet for removed entity class_1542['Air'/692609, l='ServerLevel[world]', x=-215.65, y=21.61, z=155.31]
[02:35:26] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/693119, l='ServerLevel[world]', x=-214.48, y=48.28, z=149.32]
[02:35:26] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/693120, l='ServerLevel[world]', x=-214.46, y=50.55, z=149.38]
[02:35:33] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/693180, l='ServerLevel[world]', x=-197.71, y=10.54, z=148.70]
[02:43:17] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/696889, l='ServerLevel[world]', x=-188.48, y=10.50, z=141.49]
[02:43:26] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/696951, l='ServerLevel[world]', x=-207.52, y=9.61, z=141.72]
[02:44:29] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/697457, l='ServerLevel[world]', x=-219.61, y=5.67, z=140.58]
[02:47:35] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/698838, l='ServerLevel[world]', x=-218.35, y=50.59, z=137.38]
[02:47:35] [Server thread/WARN]: Fetching packet for removed entity class_1542['Andesite'/698839, l='ServerLevel[world]', x=-217.28, y=48.64, z=137.67]
[02:47:35] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/698840, l='ServerLevel[world]', x=-216.74, y=46.33, z=138.66]
[02:51:04] [Server thread/INFO]: Player shuijiao is already logged on
[02:52:35] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/701098, l='ServerLevel[world]', x=-218.48, y=3.40, z=132.68]
[03:51:05] [Server thread/INFO]: Player shuijiao is already logged on
[04:51:04] [Server thread/INFO]: Player shuijiao is already logged on
[05:51:05] [Server thread/INFO]: Player shuijiao is already logged on
[06:51:03] [Server thread/INFO]: Player shuijiao is already logged on
[07:51:04] [Server thread/INFO]: Player shuijiao is already logged on
[08:18:38] [Server thread/INFO]: MAX_ShouWang[/101.132.153.204:54411] logged in with entity id 756042 at (-59.5, 122.0, 522.5)
[08:18:38] [Server thread/INFO]: MAX_ShouWang joined the game
[08:18:38] [Netty Epoll Server IO #0/WARN]: Received invalid identifier in minecraft:register: legacy:fml|hs (Non [a-z0-9/._-] character in path of location: legacy:fml|hs)
[08:23:42] [Server thread/INFO]: MAX_ShouWang fell from a high place
[08:24:00] [Server thread/INFO]: MAX_ShouWang fell from a high place
[08:24:17] [Server thread/INFO]: MAX_ShouWang fell from a high place
[08:26:30] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 2010ms or 40 ticks behind
[08:27:13] [Server thread/INFO]: <MAX_ShouWang> 这里一大滩水啊
[08:33:27] [Server thread/INFO]: <MAX_ShouWang> edgw在干嘛
[08:35:42] [Server thread/INFO]: MAX_ShouWang lost connection: Disconnected
[08:35:42] [Server thread/INFO]: MAX_ShouWang left the game
[08:35:50] [Server thread/INFO]: MAX_ShouWang[/101.132.153.204:48131] logged in with entity id 766614 at (-200.69999998807907, 5.0, 244.67464294727262)
[08:35:50] [Server thread/INFO]: MAX_ShouWang joined the game
[08:35:50] [Netty Epoll Server IO #3/WARN]: Received invalid identifier in minecraft:register: legacy:fml|hs (Non [a-z0-9/._-] character in path of location: legacy:fml|hs)
[08:35:58] [Server thread/INFO]: MAX_ShouWang lost connection: Disconnected
[08:35:58] [Server thread/INFO]: MAX_ShouWang left the game
[08:36:27] [Server thread/INFO]: MAX_ShouWang[/101.132.153.204:33273] logged in with entity id 766802 at (-200.69999998807907, 5.0, 244.67464294727262)
[08:36:27] [Server thread/INFO]: MAX_ShouWang joined the game
[08:36:27] [Netty Epoll Server IO #4/WARN]: Received invalid identifier in minecraft:register: legacy:fml|hs (Non [a-z0-9/._-] character in path of location: legacy:fml|hs)
[08:36:33] [Server thread/INFO]: MAX_ShouWang lost connection: Disconnected
[08:36:33] [Server thread/INFO]: MAX_ShouWang left the game
[08:36:42] [Server thread/INFO]: MAX_ShouWang[/101.132.153.204:58987] logged in with entity id 766927 at (-200.69999998807907, 5.0, 244.67464294727262)
[08:36:42] [Server thread/INFO]: MAX_ShouWang joined the game
[08:36:42] [Netty Epoll Server IO #6/WARN]: Received invalid identifier in minecraft:register: legacy:fml|hs (Non [a-z0-9/._-] character in path of location: legacy:fml|hs)
[08:36:58] [Server thread/INFO]: MAX_ShouWang hit the ground too hard
[08:37:08] [Server thread/INFO]: MAX_ShouWang lost connection: Disconnected
[08:37:08] [Server thread/INFO]: MAX_ShouWang left the game
[08:37:12] [Server thread/INFO]: MAX_ShouWang[/101.132.153.204:42613] logged in with entity id 767326 at (-59.5, 122.0, 522.5)
[08:37:12] [Server thread/INFO]: MAX_ShouWang joined the game
[08:37:12] [Netty Epoll Server IO #7/WARN]: Received invalid identifier in minecraft:register: legacy:fml|hs (Non [a-z0-9/._-] character in path of location: legacy:fml|hs)
[08:37:35] [Server thread/INFO]: MAX_ShouWang lost connection: Disconnected
[08:37:35] [Server thread/INFO]: MAX_ShouWang left the game
[08:38:09] [Server thread/INFO]: MAX_ShouWang[/101.132.153.204:37677] logged in with entity id 767614 at (-59.5, 122.0, 522.5)
[08:38:09] [Server thread/INFO]: MAX_ShouWang joined the game
[08:38:09] [Netty Epoll Server IO #1/WARN]: Received invalid identifier in minecraft:register: legacy:fml|hs (Non [a-z0-9/._-] character in path of location: legacy:fml|hs)
[08:38:30] [Server thread/INFO]: wuhao[/101.132.153.204:47129] logged in with entity id 767781 at (-1929.8823804606589, 73.0, 1083.6778386887704)
[08:38:30] [Server thread/INFO]: wuhao joined the game
[08:38:30] [Netty Epoll Server IO #2/WARN]: Received invalid identifier in minecraft:register: legacy:fml|hs (Non [a-z0-9/._-] character in path of location: legacy:fml|hs)
[08:38:32] [Netty Epoll Server IO #2/WARN]: Player wuhao joined with another carpet version: 1.4.11+v200910
[08:51:06] [Server thread/INFO]: Player shuijiao is already logged on
[08:57:26] [Server thread/INFO]: <MAX_ShouWang> hello
[09:08:09] [Server thread/INFO]: wuhao lost connection: Disconnected
[09:08:09] [Server thread/INFO]: wuhao left the game
[09:17:27] [Server thread/INFO]: wuhao[/101.132.153.204:45529] logged in with entity id 788453 at (-2010.3184539445526, 68.0, 538.8931567148585)
[09:17:27] [Server thread/INFO]: wuhao joined the game
[09:17:27] [Netty Epoll Server IO #2/WARN]: Received invalid identifier in minecraft:register: legacy:fml|hs (Non [a-z0-9/._-] character in path of location: legacy:fml|hs)
[09:17:27] [Netty Epoll Server IO #2/WARN]: Player wuhao joined with another carpet version: 1.4.11+v200910
[09:19:44] [Server thread/INFO]: <MAX_ShouWang> 谁有空来这里保护我下
[09:22:01] [Server thread/INFO]: Villager class_1646['Villager'/208294, l='ServerLevel[world]', x=241.29, y=56.00, z=215.37] died, message: 'Villager was slain by wuhao'
[09:26:57] [Server thread/INFO]: <MAX_ShouWang> 填岩浆的路上
[09:31:38] [Server thread/INFO]: MAX_ShouWang tried to swim in lava
[09:48:10] [Server thread/INFO]: MAX_ShouWang was shot by Skeleton
[09:51:04] [Server thread/INFO]: Player shuijiao is already logged on
[10:05:53] [Server thread/INFO]: <wuhao> 干啥呢
[10:06:15] [Server thread/INFO]: <MAX_ShouWang> 填岩浆填到没装备了
[10:10:25] [Server thread/INFO]: <MAX_ShouWang> 我先去酿些药
[10:11:29] [Server thread/INFO]: <MAX_ShouWang> 突然想起来是不是没岩浆膏了
[10:12:45] [Server thread/INFO]: <MAX_ShouWang> 主要我不太喜欢这样
[10:15:57] [Server thread/INFO]: <MAX_ShouWang> 下界基岩层下面怎么去啊
[10:16:35] [Server thread/INFO]: <MAX_ShouWang> ok
[10:20:19] [Server thread/INFO]: <MAX_ShouWang> 我找不到。。。
[10:24:25] [Server thread/INFO]: <MAX_ShouWang> 谁会走的
[10:24:36] [Server thread/INFO]: <MAX_ShouWang> 带我走下
[10:25:31] [Server thread/INFO]: <MAX_ShouWang> az
[10:25:49] [Server thread/INFO]: <MAX_ShouWang> 藏这么深
[10:26:18] [Server thread/INFO]: <MAX_ShouWang> 谢谢
[10:42:29] [Server thread/INFO]: MAX_ShouWang has made the advancement [Who is Cutting Onions?]
[10:47:57] [Server thread/INFO]: Plants352039[/101.132.153.204:45283] logged in with entity id 845605 at (-1181.302710064425, 65.0, -126.47152135496074)
[10:47:57] [Server thread/INFO]: Plants352039 joined the game
[10:47:57] [Netty Epoll Server IO #5/WARN]: Received invalid identifier in minecraft:register: legacy:fml|hs (Non [a-z0-9/._-] character in path of location: legacy:fml|hs)
[10:48:20] [Server thread/INFO]: wuhao lost connection: Timed out
[10:48:20] [Server thread/INFO]: wuhao left the game
[10:48:28] [Server thread/INFO]: Plants352039 lost connection: Disconnected
[10:48:28] [Server thread/INFO]: Plants352039 left the game
[10:49:11] [Server thread/INFO]: Plants352039[/101.132.153.204:44417] logged in with entity id 846376 at (-1181.302710064425, 65.0, -126.47152135496074)
[10:49:11] [Server thread/INFO]: Plants352039 joined the game
[10:49:11] [Netty Epoll Server IO #7/WARN]: Received invalid identifier in minecraft:register: legacy:fml|hs (Non [a-z0-9/._-] character in path of location: legacy:fml|hs)
[10:49:16] [Server thread/INFO]: <MAX_ShouWang> hi
[10:49:42] [Server thread/INFO]: Plants352039 lost connection: Disconnected
[10:49:42] [Server thread/INFO]: Plants352039 left the game
[10:49:49] [Server thread/INFO]: <MAX_ShouWang> ???
[10:50:38] [Server thread/INFO]: <MAX_ShouWang> 问个问题
[10:51:04] [Server thread/INFO]: Player shuijiao is already logged on
[10:51:39] [Server thread/INFO]: <MAX_ShouWang> 11个金两个灵魂疾走23瓶抗火是欧是非
[10:52:21] [Server thread/INFO]: Plants352039[/101.132.153.204:42273] logged in with entity id 847537 at (-1181.302710064425, 65.0, -126.47152135496074)
[10:52:21] [Server thread/INFO]: Plants352039 joined the game
[10:52:21] [Netty Epoll Server IO #4/WARN]: Received invalid identifier in minecraft:register: legacy:fml|hs (Non [a-z0-9/._-] character in path of location: legacy:fml|hs)
[10:55:16] [Server thread/INFO]: Plants352039 lost connection: Disconnected
[10:55:16] [Server thread/INFO]: Plants352039 left the game
[11:29:49] [Server thread/INFO]: [MAX_ShouWang: Triggered [config] (set value to 1478966217)]
[11:29:50] [Server thread/INFO]: [MAX_ShouWang: Triggered [config] (set value to 1478966216)]
[11:29:59] [Server thread/INFO]: [MAX_ShouWang: Triggered [config] (set value to 1838019371)]
[11:30:03] [Server thread/INFO]: [MAX_ShouWang: Triggered [config] (set value to 1838019372)]
[11:30:11] [Server thread/INFO]: [MAX_ShouWang: Triggered [config] (set value to 1838019378)]
[11:30:17] [Server thread/INFO]: [MAX_ShouWang: Triggered [config] (set value to 1838019377)]
[11:30:27] [Server thread/INFO]: [MAX_ShouWang: Triggered [config] (set value to 1838019376)]
[11:30:32] [Server thread/INFO]: [MAX_ShouWang: Triggered [config] (set value to 1838019375)]
[11:30:34] [Server thread/INFO]: [MAX_ShouWang: Triggered [config] (set value to 1838019372)]
[11:30:39] [Server thread/INFO]: [MAX_ShouWang: Triggered [config] (set value to 1838019374)]
[11:30:45] [Server thread/INFO]: [MAX_ShouWang: Triggered [config] (set value to 1838019375)]
[11:30:54] [Server thread/INFO]: [MAX_ShouWang: Triggered [config] (set value to 1838019371)]
[11:30:57] [Server thread/INFO]: [MAX_ShouWang: Triggered [config] (set value to 1838019379)]
[11:31:00] [Server thread/INFO]: [MAX_ShouWang: Triggered [config] (set value to 1838019372)]
[11:31:05] [Server thread/INFO]: [MAX_ShouWang: Triggered [config] (set value to 1838019370)]
[11:31:06] [Server thread/INFO]: [MAX_ShouWang: Triggered [config] (set value to 1838019379)]
[11:31:07] [Server thread/INFO]: [MAX_ShouWang: Triggered [config] (set value to 1838019372)]
[11:37:12] [Server thread/INFO]: [MAX_ShouWang: Triggered [config] (set value to 1478966210)]
[11:48:01] [Server thread/INFO]: <MAX_ShouWang> hello
[11:48:21] [Server thread/INFO]: <MAX_ShouWang> [点赞]
[11:51:03] [Server thread/INFO]: Player shuijiao is already logged on
[11:57:40] [Server thread/INFO]: Villager class_1646['Villager'/873207, l='ServerLevel[world]', x=1371.30, y=64.94, z=628.46] died, message: 'Villager was slain by Ravager'
[11:57:45] [Server thread/INFO]: Villager class_1646['Villager'/873145, l='ServerLevel[world]', x=1359.41, y=66.00, z=608.58] died, message: 'Villager was slain by Vindicator'
[11:57:56] [Server thread/INFO]: Villager class_1646['Villager'/873206, l='ServerLevel[world]', x=1383.86, y=66.00, z=598.12] died, message: 'Villager was slain by Ravager'
[11:58:07] [Server thread/INFO]: Villager class_1646['Villager'/873293, l='ServerLevel[world]', x=1348.62, y=65.00, z=598.48] died, message: 'Villager was slain by Vindicator'
[11:58:59] [Server thread/INFO]: Villager class_1646['Villager'/873292, l='ServerLevel[world]', x=1393.50, y=69.00, z=590.30] died, message: 'Villager was slain by Ravager'
[11:59:06] [Server thread/INFO]: Villager class_1646['Villager'/873386, l='ServerLevel[world]', x=1372.55, y=65.00, z=623.07] died, message: 'Villager was slain by Vindicator'
[11:59:09] [Server thread/INFO]: Villager class_1646['Villager'/873387, l='ServerLevel[world]', x=1375.72, y=65.00, z=628.42] died, message: 'Villager was slain by Vindicator'
[12:00:05] [Server thread/INFO]: Villager class_1646['Villager'/873388, l='ServerLevel[world]', x=1389.83, y=68.54, z=596.78] died, message: 'Villager was slain by Vindicator'
[12:01:37] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 2707ms or 54 ticks behind
[12:09:54] [Server thread/INFO]: <MAX_ShouWang> 有人来帮忙吗
[12:12:04] [Server thread/INFO]: <MAX_ShouWang> 我在打突袭
[12:21:31] [Server thread/INFO]: MAX_ShouWang lost connection: Disconnected
[12:21:31] [Server thread/INFO]: MAX_ShouWang left the game
[12:21:58] [Server thread/INFO]: <EDGW> ?
[12:24:55] [Server thread/INFO]: <EDGW> 我没空
[12:25:50] [Server thread/INFO]: <EDGW> 4号线开始铺设照明
[12:39:31] [Server thread/INFO]: MAX_ShouWang[/101.132.153.204:34441] logged in with entity id 887280 at (1296.5716148781578, 64.0, 592.4497978721358)
[12:39:31] [Server thread/INFO]: MAX_ShouWang joined the game
[12:39:31] [Netty Epoll Server IO #5/WARN]: Received invalid identifier in minecraft:register: legacy:fml|hs (Non [a-z0-9/._-] character in path of location: legacy:fml|hs)
[12:41:32] [Server thread/INFO]: <EDGW> 3号线继续推进
[12:43:43] [Server thread/INFO]: <EDGW> o
[12:45:13] [Server thread/INFO]: EDGW fell from a high place
[12:45:17] [Server thread/INFO]: <EDGW> o
[12:45:19] [Server thread/INFO]: <EDGW> c
[12:45:21] [Server thread/INFO]: <MAX_ShouWang> az
[12:45:43] [Server thread/INFO]: <EDGW> 施工不当
[12:45:47] [Server thread/INFO]: <EDGW> 摔死了
[12:46:01] [Server thread/INFO]: HongZhaJi lost connection: Killed
[12:46:01] [Server thread/INFO]: 假的 HongZhaJi left the game
[12:46:05] [Server thread/INFO]: <EDGW> kill了
[12:46:19] [Server thread/INFO]: <EDGW> 平均地铁每延伸150m我就要死一次
[12:46:32] [Server thread/INFO]: MAX_ShouWang lost connection: Disconnected
[12:46:32] [Server thread/INFO]: MAX_ShouWang left the game
[12:46:42] [Server thread/INFO]: ThreadedAnvilChunkStorage (world): All chunks are saved
[12:46:42] [Thread-1637/INFO]: Creating render-task for map: world
[12:46:42] [Thread-1637/INFO]: Collecting chunks...
[12:46:42] [Thread-1637/INFO]: 484 chunks found!
[12:46:42] [Thread-1637/INFO]: Collecting tiles...
[12:46:42] [Thread-1637/INFO]: 146 tiles found! Task created.
[12:46:42] [Thread-1637/INFO]: All render tasks created! Use /bluemap to view the progress!
[12:46:58] [Server thread/INFO]: MAX_ShouWang[/101.132.153.204:42845] logged in with entity id 892712 at (1284.9558100412955, 64.0, 584.0213532488098)
[12:46:58] [Server thread/INFO]: MAX_ShouWang joined the game
[12:46:58] [Netty Epoll Server IO #0/WARN]: Received invalid identifier in minecraft:register: legacy:fml|hs (Non [a-z0-9/._-] character in path of location: legacy:fml|hs)
[12:51:04] [Server thread/INFO]: Player shuijiao is already logged on
[13:05:04] [Server thread/INFO]: <MAX_ShouWang> 我看看
[13:08:00] [Server thread/INFO]: <EDGW> MAX_ShouWang 你忙吗
[13:08:50] [Server thread/INFO]: <EDGW> 不刷
[13:08:55] [Server thread/INFO]: <EDGW> em
[13:09:02] [Server thread/INFO]: <EDGW> 那你觉得怎么激活
[13:09:26] [Server thread/INFO]: <EDGW> 我觉得用拉杆比较好 同一放内侧，两边对齐放
[13:09:38] [Server thread/INFO]: <EDGW> 太麻烦
[13:09:59] [Server thread/INFO]: <EDGW> 同一放内侧，两边对齐放，不要太近，尽量到达20格再放一个
[13:10:36] [Server thread/INFO]: <EDGW> 啊？
[13:10:41] [Server thread/INFO]: <EDGW> 那就15格
[13:11:27] [Server thread/INFO]: <EDGW> 可以 每隔3格海晶灯1个拉杆?
[13:13:02] [Server thread/INFO]: EDGW experienced kinetic energy
[13:13:06] [Server thread/INFO]: <EDGW> cnm
[13:13:39] [Server thread/INFO]: <EDGW> 是的
[13:14:26] [Server thread/INFO]: <EDGW> 嗯
[13:14:46] [Server thread/INFO]: <EDGW> 哪个牌子要拆的 以后要改 因为桥和山要命名
[13:15:10] [Server thread/INFO]: wuhao[/101.132.153.204:36465] logged in with entity id 905672 at (-1093.3062918039634, 63.0, 1302.0846415620954)
[13:15:10] [Server thread/INFO]: wuhao joined the game
[13:15:10] [Netty Epoll Server IO #7/WARN]: Received invalid identifier in minecraft:register: legacy:fml|hs (Non [a-z0-9/._-] character in path of location: legacy:fml|hs)
[13:15:15] [Netty Epoll Server IO #7/WARN]: Player wuhao joined with another carpet version: 1.4.11+v200910
